did,all_exp
ID6720,RNAi-vec48 ;feeding-3mM ;48h ;;mutant-gk756
ID6721,RNAi-vec48 ;feeding-3mM ;48h ;;mutant-gk756
ID8393,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8394,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8395,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8396,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8397,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8398,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8400,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8401,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8402,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID8403,RNAi-vec48 ;feeding-2mM ;24h ;;mutant-gk756
ID7565,RNAi-X2K05 ;feeding-drop ;24h
ID7566,RNAi-X2K05 ;feeding-drop ;24h
ID7567,RNAi-X2K05 ;feeding-drop ;24h
ID7568,RNAi-X2K05 ;feeding-drop ;24h
ID7569,RNAi-X2K05 ;feeding-drop ;24h
ID7571,RNAi-X2K05 ;feeding-drop ;24h
ID7572,RNAi-X2K05 ;feeding-drop ;24h
ID7573,RNAi-X2K05 ;feeding-drop ;24h
ID5258,RNAi-none ;feeding-drop ;24h
ID5259,RNAi-none ;feeding-drop ;24h
ID5260,RNAi-none ;feeding-drop ;24h
ID5261,RNAi-none ;feeding-drop ;24h
ID5262,RNAi-none ;feeding-drop ;24h
ID5263,RNAi-none ;feeding-drop ;24h
ID5264,RNAi-none ;feeding-drop ;24h
ID7028,RNAi-L4440 ;feeding-3mM ;24h
ID7029,RNAi-L4440 ;feeding-3mM ;24h
ID7030,RNAi-L4440 ;feeding-3mM ;24h
ID7031,RNAi-L4440 ;feeding-3mM ;24h
ID7032,RNAi-L4440 ;feeding-3mM ;24h
ID7033,RNAi-L4440 ;feeding-3mM ;24h
ID7034,RNAi-L4440 ;feeding-3mM ;24h
ID7035,RNAi-L4440 ;feeding-3mM ;24h
ID7036,RNAi-L4440 ;feeding-3mM ;24h
ID7037,RNAi-L4440 ;feeding-3mM ;24h
ID7038,RNAi-L4440 ;feeding-3mM ;24h
ID1163,RNAi-none ;feeding-drop ;24h
ID1164,RNAi-none ;feeding-drop ;24h
ID1165,RNAi-none ;feeding-drop ;24h
ID1166,RNAi-none ;feeding-drop ;24h
ID1167,RNAi-none ;feeding-drop ;24h
ID1168,RNAi-none ;feeding-drop ;24h
ID5973,RNAi-none ;feeding-drop ;48h
ID5974,RNAi-none ;feeding-drop ;48h
ID5975,RNAi-none ;feeding-drop ;48h
ID5976,RNAi-none ;feeding-drop ;48h
ID5977,RNAi-none ;feeding-drop ;48h
ID5979,RNAi-none ;feeding-drop ;48h
ID5827,RNAi-none ;feeding-drop ;24h
ID5828,RNAi-none ;feeding-drop ;24h
ID5829,RNAi-none ;feeding-drop ;24h
ID5830,RNAi-none ;feeding-drop ;24h
ID5831,RNAi-none ;feeding-drop ;24h
ID5832,RNAi-none ;feeding-drop ;24h
ID5833,RNAi-none ;feeding-drop ;24h
ID5834,RNAi-none ;feeding-drop ;24h
ID5812,RNAi-none ;feeding-drop ;24h
ID5813,RNAi-none ;feeding-drop ;24h
ID5814,RNAi-none ;feeding-drop ;24h
ID6939,RNAi-L4440 ;feeding-drop ;24h
ID6937,RNAi-L4440 ;feeding-drop ;24h
ID6938,RNAi-L4440 ;feeding-drop ;24h
ID6940,RNAi-L4440 ;feeding-drop ;24h
ID6941,RNAi-L4440 ;feeding-drop ;24h
ID6942,RNAi-L4440 ;feeding-drop ;24h
ID6943,RNAi-L4440 ;feeding-drop ;24h
ID6059,RNAi-none ;feeding-3mM ;48h
ID6060,RNAi-none ;feeding-3mM ;48h
ID6061,RNAi-none ;feeding-3mM ;48h
ID6063,RNAi-none ;feeding-3mM ;48h
ID6064,RNAi-none ;feeding-3mM ;48h
ID6084,RNAi-none ;feeding-3mM ;48h
ID6092,RNAi-none ;feeding-3mM ;48h
ID6086,RNAi-none ;feeding-3mM ;48h
ID6087,RNAi-none ;feeding-3mM ;48h
ID6088,RNAi-none ;feeding-3mM ;48h
ID6089,RNAi-none ;feeding-3mM ;48h
ID6090,RNAi-none ;feeding-3mM ;48h
ID6093,RNAi-none ;feeding-3mM ;48h
ID6111,RNAi-none ;feeding-3mM ;48h
ID6113,RNAi-none ;feeding-3mM ;48h
ID6115,RNAi-none ;feeding-3mM ;48h
ID6117,RNAi-none ;feeding-3mM ;48h
ID6163,RNAi-none ;feeding-3mM ;48h
ID6164,RNAi-none ;feeding-3mM ;48h
ID6165,RNAi-none ;feeding-3mM ;48h
ID6166,RNAi-none ;feeding-3mM ;48h
ID6167,RNAi-none ;feeding-3mM ;48h
ID6168,RNAi-none ;feeding-3mM ;48h
ID6097,RNAi-none ;feeding-3mM ;48h
ID6098,RNAi-none ;feeding-3mM ;48h
ID6170,RNAi-none ;feeding-3mM ;48h
ID6171,RNAi-none ;feeding-3mM ;48h
ID6172,RNAi-none ;feeding-3mM ;48h
ID10694,RNAi-tub63 ;feeding-1mM ;6-10h
ID10695,RNAi-tub63 ;feeding-1mM ;6-10h
ID10696,RNAi-tub63 ;feeding-1mM ;6-10h
ID10697,RNAi-tub63 ;feeding-1mM ;6-10h
ID10698,RNAi-tub63 ;feeding-1mM ;6-10h
ID10699,RNAi-tub63 ;feeding-1mM ;6-10h
ID10700,RNAi-tub63 ;feeding-1mM ;6-10h
ID10701,RNAi-tub63 ;feeding-1mM ;6-10h
ID10769,RNAi-tub63 ;feeding-1mM ;6-10h
ID10770,RNAi-tub63 ;feeding-1mM ;6-10h
ID10772,RNAi-tub63 ;feeding-1mM ;6-10h
ID10773,RNAi-tub63 ;feeding-1mM ;6-10h
ID10774,RNAi-tub63 ;feeding-1mM ;6-10h
ID10775,RNAi-tub63 ;feeding-1mM ;6-10h
ID10776,RNAi-tub63 ;feeding-1mM ;6-10h
ID10777,RNAi-tub63 ;feeding-1mM ;6-10h
ID10778,RNAi-tub63 ;feeding-1mM ;6-10h
ID10779,RNAi-tub63 ;feeding-1mM ;6-10h
ID9699,RNAi-tube11 ;feeding-drop ;24h
ID9700,RNAi-tube11 ;feeding-drop ;24h
ID9760,RNAi-tube11 ;feeding-drop ;24h
ID9761,RNAi-tube11 ;feeding-drop ;24h
ID9762,RNAi-tube11 ;feeding-drop ;24h
ID9763,RNAi-tube11 ;feeding-drop ;24h
ID9832,RNAi-tube11 ;feeding-drop ;24h
ID9833,RNAi-tube11 ;feeding-drop ;24h
ID9834,RNAi-tube11 ;feeding-drop ;24h
ID9764,RNAi-tube11 ;feeding-3mM ;48h
ID9703,RNAi-tube11 ;feeding-3mM ;48h
ID9704,RNAi-tube11 ;feeding-3mM ;48h
ID9705,RNAi-tube11 ;feeding-3mM ;48h
ID9706,RNAi-tube11 ;feeding-3mM ;48h
ID9707,RNAi-tube11 ;feeding-3mM ;48h
ID9708,RNAi-tube11 ;feeding-3mM ;48h
ID9709,RNAi-tube11 ;feeding-3mM ;48h
ID11330,RNAi-tube63 ;feeding-drop ;24h
ID11334,RNAi-tube63 ;feeding-drop ;24h
ID11336,RNAi-tube63 ;feeding-drop ;24h
ID11353,RNAi-tube63 ;feeding-drop ;24h
ID11354,RNAi-tube63 ;feeding-drop ;24h
ID11355,RNAi-tube63 ;feeding-drop ;24h
ID11356,RNAi-tube63 ;feeding-drop ;24h
ID11357,RNAi-tube63 ;feeding-drop ;24h
ID11358,RNAi-tube63 ;feeding-drop ;24h
ID11492,RNAi-tube63 ;feeding-drop ;6h
ID11493,RNAi-tube63 ;feeding-drop ;6h
ID11494,RNAi-tube63 ;feeding-drop ;6h
ID11495,RNAi-tube63 ;feeding-drop ;6h
ID11497,RNAi-tube63 ;feeding-drop ;6h
ID11498,RNAi-tube63 ;feeding-drop ;6h
ID11499,RNAi-tube63 ;feeding-drop ;6h
ID11500,RNAi-tube63 ;feeding-drop ;6h
ID11501,RNAi-tube63 ;feeding-drop ;6h
ID11502,RNAi-tube63 ;feeding-drop ;24h
ID11503,RNAi-tube63 ;feeding-drop ;24h
ID11504,RNAi-tube63 ;feeding-drop ;24h
ID11505,RNAi-tube63 ;feeding-drop ;24h
ID11506,RNAi-tube63 ;feeding-drop ;24h
ID11507,RNAi-tube63 ;feeding-drop ;24h
ID11508,RNAi-tube63 ;feeding-drop ;24h
ID11509,RNAi-tube63 ;feeding-drop ;24h
ID11510,RNAi-tube63 ;feeding-drop ;24h
ID9956,RNAi-tube11 ;feeding-1mM ;6-10h
ID9957,RNAi-tube11 ;feeding-1mM ;6-10h
ID9959,RNAi-tube11 ;feeding-1mM ;6-10h
ID9590,RNAi-tube11 ;feeding-3mM ;24h
ID9591,RNAi-tube11 ;feeding-3mM ;24h
ID9592,RNAi-tube11 ;feeding-3mM ;24h
ID9593,RNAi-tube11 ;feeding-3mM ;24h
ID9594,RNAi-tube11 ;feeding-3mM ;24h
ID12169,RNAi ;feeding-1mM ;6h
ID12172,RNAi-tube-63 ;feeding-4mM ;24h
ID12173,RNAi-tube-63 ;feeding-4mM ;24h
ID12174,RNAi-tube-63 ;feeding-4mM ;24h
ID12235,RNAi-tube-63 ;feeding-4mM ;24h
ID12236,RNAi-tube-63 ;feeding-4mM ;24h
ID12237,RNAi-tube-63 ;feeding-4mM ;24h
ID12166,RNAi ;feeding-1mM ;6h
ID12167,RNAi ;feeding-1mM ;6h
ID12168,RNAi ;feeding-1mM ;6h
ID12229,RNAi ;feeding-1mM ;6h
ID12230,RNAi ;feeding-1mM ;6h
ID12231,RNAi ;feeding-1mM ;6h
ID12232,RNAi ;feeding-1mM ;6h
ID12233,RNAi ;feeding-1mM ;6h
ID12234,RNAi ;feeding-1mM ;6h
ID12451,RNAi ;feeding-1mM ;6h
ID12452,RNAi ;feeding-1mM ;6h
ID12453,RNAi ;feeding-1mM ;6h
ID12455,RNAi ;feeding-1mM ;6h
ID12243,RNAi ;feeding-1mM ;48h
ID12282,RNAi ;feeding-1mM ;48h
ID12285,RNAi ;feeding-1mM ;48h
ID12286,RNAi ;feeding-1mM ;48h
ID12546,RNAi ;feeding-1mM ;24h
ID12547,RNAi ;feeding-1mM ;24h
ID12548,RNAi ;feeding-1mM ;24h
ID12551,RNAi ;feeding-1mM ;24h
ID12552,RNAi ;feeding-1mM ;24h
ID12626,RNAi ;feeding-1mM ;24h
ID12628,RNAi ;feeding-1mM ;24h
ID12630,RNAi ;feeding-1mM ;24h
ID12633,RNAi ;feeding-1mM ;24h
ID12634,RNAi ;feeding-1mM ;24h
ID12637,RNAi ;feeding-1mM ;24h
ID12063,RNAi-tube63 ;feeding ;4mM_48h
ID12074,RNAi-tube63 ;feeding ;4mM_48h
ID12075,RNAi-tube63 ;feeding ;4mM_48h
ID12076,RNAi-tube63 ;feeding ;4mM_48h
ID12077,RNAi-tube63 ;feeding ;4mM_48h
ID12103,RNAi-tube63 ;feeding ;4mM_48h
ID12104,RNAi-tube63 ;feeding ;4mM_48h
ID12105,RNAi-tube63 ;feeding ;4mM_48h
ID12106,RNAi-tube63 ;feeding ;4mM_48h
ID12107,RNAi-tube63 ;feeding ;4mM_48h
ID4649,RNAi-I4F17 ;feeding-drop ;24h
ID4650,RNAi-I4F17 ;feeding-drop ;24h
ID4651,RNAi-I4F17 ;feeding-drop ;24h
ID4653,RNAi-I4F17 ;feeding-drop ;24h
ID4654,RNAi-I4F17 ;feeding-drop ;24h
ID4655,RNAi-I4F17 ;feeding-drop ;24h
ID4656,RNAi-I4F17 ;feeding-drop ;24h
ID6923,RNAi-I3J11 ;feeding-drop ;24h
ID6924,RNAi-I3J11 ;feeding-drop ;24h
ID6926,RNAi-I3J11 ;feeding-drop ;24h
ID6928,RNAi-I3J11 ;feeding-drop ;24h
ID6930,RNAi-I3J11 ;feeding-drop ;24h
ID6931,RNAi-I3J11 ;feeding-drop ;24h
ID6932,RNAi-I3J11 ;feeding-drop ;24h
ID6933,RNAi-I3J11 ;feeding-drop ;24h
ID6935,RNAi-I3J11 ;feeding-drop ;24h
ID6922,RNAi-I3J11 ;feeding-drop ;24h
ID7009,RNAi-I3J11 ;feeding-3mM ;24h
ID7010,RNAi-I3J11 ;feeding-3mM ;24h
ID7011,RNAi-I3J11 ;feeding-3mM ;24h
ID7012,RNAi-I3J11 ;feeding-3mM ;24h
ID7013,RNAi-I3J11 ;feeding-3mM ;24h
ID7014,RNAi-I3J11 ;feeding-3mM ;24h
ID7015,RNAi-I3J11 ;feeding-3mM ;24h
ID7016,RNAi-I3J11 ;feeding-3mM ;24h
ID7017,RNAi-I3J11 ;feeding-3mM ;24h
ID7018,RNAi-I3J11 ;feeding-3mM ;24h
ID7019,RNAi-I3J11 ;feeding-3mM ;24h
ID5816,RNAi-I3J11 ;feeding-drop ;24h
ID5817,RNAi-I3J11 ;feeding-drop ;24h
ID5815,RNAi-I3J11 ;feeding-drop ;24h
ID5818,RNAi-I3J11 ;feeding-drop ;24h
ID5819,RNAi-I3J11 ;feeding-drop ;24h
ID7225,RNAi-I3J11 ;feeding-3mM ;48h
ID7226,RNAi-I3J11 ;feeding-3mM ;48h
ID7227,RNAi-I3J11 ;feeding-3mM ;48h
ID7228,RNAi-I3J11 ;feeding-3mM ;48h
ID7229,RNAi-I3J11 ;feeding-3mM ;48h
ID7230,RNAi-I3J11 ;feeding-3mM ;48h
ID7231,RNAi-I3J11 ;feeding-3mM ;48h
ID7232,RNAi-I3J11 ;feeding-3mM ;48h
ID7233,RNAi-I3J11 ;feeding-3mM ;48h
ID7234,RNAi-I3J11 ;feeding-3mM ;48h
ID7251,RNAi-I3J11 ;feeding-3mM ;48h
ID7252,RNAi-I3J11 ;feeding-3mM ;48h
ID3972,mutant-ok2126
ID3973,mutant-ok2126
ID3974,mutant-ok2126
ID3975,mutant-ok2126
ID3976,mutant-ok2126
ID3977,mutant-ok2126
ID3978,mutant-ok2126
ID2468,mutant-ok2126
ID2469,mutant-ok2126
ID2470,mutant-ok2126
ID2461,mutant-ok2126
ID2462,mutant-ok2126
ID2463,mutant-ok2126
ID2465,mutant-ok2126
ID2466,mutant-ok2126
ID4531,RNAi-III4E08 ;feeding-drop ;16h
ID4532,RNAi-III4E08 ;feeding-drop ;16h
ID4530,RNAi-III4C10 ;feeding-drop ;16h
ID11455,RNAi-III4C10 ;feeding-drop ;6h
ID11456,RNAi-III4C10 ;feeding-drop ;6h
ID11457,RNAi-III4C10 ;feeding-drop ;6h
ID11458,RNAi-III4C10 ;feeding-drop ;6h
ID11459,RNAi-III4C10 ;feeding-drop ;6h
ID11462,RNAi-III4C10 ;feeding-drop ;6h
ID11463,RNAi-III4C10 ;feeding-drop ;6h
ID11485,RNAi-III4C10 ;feeding-drop ;6h
ID11488,RNAi-III4C10 ;feeding-drop ;6h
ID11490,RNAi-III4C10 ;feeding-drop ;6h
ID12301,none
ID12302,none
ID12303,none
ID12304,none
ID12305,none
ID12308,none
ID4006,mutant-ok1179
ID4007,mutant-ok1179
ID4008,mutant-ok1179
ID4009,mutant-ok1179
ID4010,mutant-ok1179
ID4012,mutant-ok1179
ID5366,mutant-ok1179
ID5367,mutant-ok1179
ID5368,mutant-ok1179
ID5370,mutant-ok1179
ID5371,mutant-ok1179
ID5372,mutant-ok1179
ID3355,mutant-tm964
ID3356,mutant-tm964
ID3357,mutant-tm964
ID3358,mutant-tm964
ID3359,mutant-tm964
ID3360,mutant-tm964
ID3361,mutant-tm964
ID3362,mutant-tm964
ID3363,mutant-tm964
ID12347,mutant-tm964
ID12349,mutant-tm964
ID12363,mutant-tm964
ID12350,mutant-tm964
ID12351,mutant-tm964
ID12352,mutant-tm964
ID6414,RNAi-ebp-B ;feeding-2mM ;24h ;;mutant-gk756
ID6416,RNAi-ebp-B ;feeding-2mM ;24h ;;mutant-gk756
ID6417,RNAi-ebp-B ;feeding-2mM ;24h ;;mutant-gk756
ID6418,RNAi-ebp-B ;feeding-2mM ;24h ;;mutant-gk756
ID8416,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8417,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8418,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8419,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8420,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8421,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8422,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8423,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8424,RNAi-ebp-A ;feeding-2mM ;24h ;;mutant-gk756
ID8619,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8620,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8621,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8623,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8625,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8626,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8627,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8628,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8630,RNAi-ebp-B ;feeding-3mM ;48h ;;mutant-gk756
ID8485,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8486,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8487,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8488,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8489,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8490,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8491,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8492,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8493,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8494,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8495,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID8496,RNAi-ebp-A ;feeding-3mM ;48h ;;mutant-gk756
ID6722,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6723,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6724,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6725,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6726,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6727,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6729,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6730,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6731,RNAi-ebp-D ;feeding-3mM ;48h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-3mM ;48h
ID6302,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6303,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6304,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6305,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6307,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6308,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6309,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6310,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6306,RNAi-ebp-D ;feeding-2mM ;24h ;;mutant-gk756 ;;RNAi-ebp-D ;feeding-2mM ;24h
ID6197,RNAi-ebp-A ;feeding-2mM ;24h
ID6198,RNAi-ebp-A ;feeding-2mM ;24h
ID6199,RNAi-ebp-A ;feeding-2mM ;24h
ID6200,RNAi-ebp-A ;feeding-2mM ;24h
ID6201,RNAi-ebp-A ;feeding-2mM ;24h
ID6202,RNAi-ebp-A ;feeding-2mM ;24h
ID6203,RNAi-ebp-A ;feeding-2mM ;24h
ID8469,RNAi-ebp-A ;feeding-3mM ;48h
ID8470,RNAi-ebp-A ;feeding-3mM ;48h
ID8471,RNAi-ebp-A ;feeding-3mM ;48h
ID8472,RNAi-ebp-A ;feeding-3mM ;48h
ID8473,RNAi-ebp-A ;feeding-3mM ;48h
ID8474,RNAi-ebp-A ;feeding-3mM ;48h
ID8476,RNAi-ebp-A ;feeding-3mM ;48h
ID8477,RNAi-ebp-A ;feeding-3mM ;48h
ID8478,RNAi-ebp-A ;feeding-3mM ;48h
ID8479,RNAi-ebp-A ;feeding-3mM ;48h
ID8480,RNAi-ebp-A ;feeding-3mM ;48h
ID8405,RNAi-ebp-B ;feeding-2mM ;24h
ID8406,RNAi-ebp-B ;feeding-2mM ;24h
ID8408,RNAi-ebp-B ;feeding-2mM ;24h
ID8409,RNAi-ebp-B ;feeding-2mM ;24h
ID8411,RNAi-ebp-B ;feeding-2mM ;24h
ID8410,RNAi-ebp-B ;feeding-2mM ;24h
ID8412,RNAi-ebp-B ;feeding-2mM ;24h
ID8414,RNAi-ebp-B ;feeding-2mM ;24h
ID8413,RNAi-ebp-B ;feeding-2mM ;24h
ID8601,RNAi-ebp-B ;feeding-3mM ;48h
ID8602,RNAi-ebp-B ;feeding-3mM ;48h
ID8604,RNAi-ebp-B ;feeding-3mM ;48h
ID8605,RNAi-ebp-B ;feeding-3mM ;48h
ID8606,RNAi-ebp-B ;feeding-3mM ;48h
ID8607,RNAi-ebp-B ;feeding-3mM ;48h
ID8608,RNAi-ebp-B ;feeding-3mM ;48h
ID8609,RNAi-ebp-B ;feeding-3mM ;48h
ID8610,RNAi-ebp-B ;feeding-3mM ;48h
ID8611,RNAi-ebp-B ;feeding-3mM ;48h
ID4043,RNAi-II7F10 ;feeding-drop ;18h
ID4037,RNAi-II7F10 ;feeding-drop ;18h
ID4036,RNAi-II7F10 ;feeding-drop ;18h
ID4034,RNAi-II7F10 ;feeding-drop ;18h
ID1813,RNAi-II7F10 ;feeding-drop ;24h
ID1814,RNAi-II7F10 ;feeding-drop ;24h
ID1815,RNAi-II7F10 ;feeding-drop ;24h
ID1816,RNAi-II7F10 ;feeding-drop ;24h
ID1817,RNAi-II7F10 ;feeding-drop ;24h
ID1818,RNAi-II7F10 ;feeding-drop ;24h
ID6701,RNAi-II7F10 ;feeding-3mM ;48h
ID6703,RNAi-II7F10 ;feeding-3mM ;48h
ID6704,RNAi-II7F10 ;feeding-3mM ;48h
ID6707,RNAi-II7F10 ;feeding-3mM ;48h
ID6708,RNAi-II7F10 ;feeding-3mM ;48h
ID6709,RNAi-II7F10 ;feeding-3mM ;48h
ID6710,RNAi-II7F10 ;feeding-3mM ;48h
ID6711,RNAi-II7F10 ;feeding-3mM ;48h
ID3788,RNAi-IV4O14 ;feeding-drop ;24h
ID3789,RNAi-IV4O14 ;feeding-drop ;24h
ID3790,RNAi-IV4O14 ;feeding-drop ;24h
ID3791,RNAi-IV4O14 ;feeding-drop ;24h
ID3792,RNAi-IV4O14 ;feeding-drop ;24h
ID3916,RNAi-IV4O14 ;feeding-drop ;24h
ID3917,RNAi-IV4O14 ;feeding-drop ;24h
ID3918,RNAi-IV4O14 ;feeding-drop ;24h
ID2612,RNAi-I2F15 ;feeding-drop ;24h
ID2613,RNAi-I2F15 ;feeding-drop ;24h
ID2614,RNAi-I2F15 ;feeding-drop ;24h
ID2616,RNAi-I2F15 ;feeding-drop ;24h
ID2617,RNAi-I2F15 ;feeding-drop ;24h
ID2618,RNAi-I2F15 ;feeding-drop ;24h
ID2619,RNAi-I2F15 ;feeding-drop ;24h
ID2615,RNAi-I2F15 ;feeding-drop ;24h
ID2620,RNAi-I2F15 ;feeding-drop ;24h
ID6001,RNAi-I4P13 ;feeding-drop ;24h
ID6002,RNAi-I4P13 ;feeding-drop ;24h
ID6003,RNAi-I4P13 ;feeding-drop ;24h
ID6004,RNAi-I4P13 ;feeding-drop ;24h
ID6006,RNAi-I4P13 ;feeding-drop ;24h
ID6007,RNAi-I4P13 ;feeding-drop ;24h
ID6008,RNAi-I4P13 ;feeding-drop ;24h
ID6009,RNAi-I4P13 ;feeding-drop ;24h
ID2051,RNAi-I4P13 ;feeding-drop ;24h
ID2087,RNAi-I4P13 ;feeding-drop ;24h
ID2088,RNAi-I4P13 ;feeding-drop ;24h
ID2090,RNAi-I4P13 ;feeding-drop ;24h
ID2091,RNAi-I4P13 ;feeding-drop ;24h
ID2092,RNAi-I4P13 ;feeding-drop ;24h
ID2089,RNAi-I4P13 ;feeding-drop ;24h
ID9892,RNAi ;feeding-3mM ;48h
ID9893,RNAi ;feeding-3mM ;48h
ID9894,RNAi ;feeding-3mM ;48h
ID9895,RNAi ;feeding-3mM ;48h
ID9896,RNAi ;feeding-3mM ;48h
ID9897,RNAi ;feeding-3mM ;48h
ID9898,RNAi ;feeding-3mM ;48h
ID9899,RNAi ;feeding-3mM ;48h
ID9900,RNAi ;feeding-3mM ;48h
ID3352,RNAi-III2J07 ;feeding-drop ;24h
ID3354,RNAi-III2J07 ;feeding-drop ;24h
ID3415,RNAi-III2J07 ;feeding-drop ;24h
ID3416,RNAi-III2J07 ;feeding-drop ;24h
ID3417,RNAi-III2J07 ;feeding-drop ;24h
ID3418,RNAi-III2J07 ;feeding-drop ;24h
ID3178,RNAi-IV3I07 ;feeding-drop ;24h
ID3179,RNAi-IV3I07 ;feeding-drop ;24h
ID3180,RNAi-IV3I07 ;feeding-drop ;24h
ID3181,RNAi-IV3I07 ;feeding-drop ;24h
ID3182,RNAi-IV3I07 ;feeding-drop ;24h
ID3183,RNAi-IV3I07 ;feeding-drop ;24h
ID3184,RNAi-IV3I07 ;feeding-drop ;24h
ID1021,RNAi-II6M11 ;feeding-drop ;24h
ID1022,RNAi-II6M11 ;feeding-drop ;24h
ID1025,RNAi-II6M11 ;feeding-drop ;24h
ID9989,RNAi-II-6M11 ;feeding-3mM ;4h
ID9991,RNAi-II-6M11 ;feeding-3mM ;4h
ID9992,RNAi-II-6M11 ;feeding-3mM ;4h
ID9993,RNAi-II-6M11 ;feeding-3mM ;4h
ID9994,RNAi-II-6M11 ;feeding-3mM ;4h
ID10010,RNAi-II-6M11 ;feeding-3mM ;4h
ID10011,RNAi-II-6M11 ;feeding-3mM ;4h
ID10012,RNAi-II-6M11 ;feeding-3mM ;4h
ID10013,RNAi-II-6M11 ;feeding-3mM ;4h
ID10014,RNAi-II-6M11 ;feeding-3mM ;4h
ID10015,RNAi-II-6M11 ;feeding-3mM ;4h
ID5351,RNAi-II4A13 ;feeding-drop ;48h
