did,tempe
ID3981,18C
ID4101,18C
ID4102,18C
ID4103,18C
ID4104,18C
ID5881,18C
ID5882,18C
ID5883,18C
ID5884,18C
ID5885,18C
ID5886,18C
ID5887,18C
ID1008,18C
ID1010,18C
ID934,18C
ID1011,18C
ID1013,18C
ID4806,18C
ID4807,18C
ID4808,18C
ID4809,18C
ID4810,18C
ID4812,18C
ID9170,23C
ID9171,23C
ID9172,23C
ID9173,23C
ID9174,23C
ID9387,23C
ID9382,23C
ID9383,23C
ID9384,23C
ID9385,23C
ID9386,23C
ID12476,23C
ID12477,23C
ID12480,23C
ID12481,23C
ID12572,23C
ID12573,23C
ID12575,23C
ID12577,23C
ID12580,23C
ID2417,18C
ID2418,18C
ID2420,18C
ID2421,18C
ID2422,18C
ID2425,18C
ID2424,18C
ID2427,18C
ID2428,18C
ID2430,18C
ID2276,18C
ID2274,18C
ID2275,18C
ID2279,18C
ID2281,18C
ID2283,18C
ID2285,18C
ID2287,18C
ID2299,18C
ID2300,18C
ID2301,18C
ID2302,18C
ID2288,18C
ID2289,18C
ID2290,18C
ID2291,18C
ID2292,18C
ID2295,18C
ID2296,18C
ID2294,18C
ID2297,18C
ID2284,18C
ID2282,18C
ID2286,18C
ID2298,18C
ID7672,18C
ID7673,18C
ID7674,18C
ID7675,18C
ID7676,18C
ID7677,18C
ID7679,18C
ID1152,18C
ID1147,18C
ID1148,18C
ID1149,18C
ID1150,18C
ID1151,18C
ID6524,23C
ID6525,23C
ID6526,23C
ID6528,23C
ID6527,23C
ID6529,23C
ID6530,23C
ID6532,23C
ID9193,23C
ID9194,23C
ID9196,23C
ID9197,23C
ID9199,23C
ID9399,23C
ID9400,23C
ID9401,23C
ID2608,18C
ID2607,18C
ID2606,18C
ID8234,18C
ID8235,18C
ID8236,18C
ID2101,18C
ID2102,18C
ID1974,18C
ID1975,18C
ID1976,18C
ID1978,18C
ID1979,18C
ID2077,18C
ID2084,18C
ID2075,18C
ID2078,18C
ID2079,18C
ID2083,18C
ID2085,18C
ID2076,18C
ID2334,18C
ID2335,18C
ID2336,18C
ID2337,18C
ID2338,18C
ID2339,18C
ID2341,18C
ID2343,18C
ID2342,18C
ID3464,18C
ID3465,18C
ID3466,18C
ID3467,18C
ID3468,18C
ID3469,18C
ID3470,18C
ID3473,18C
ID3474,18C
ID3475,18C
ID945,18C
ID946,18C
ID947,18C
ID950,18C
ID948,18C
ID949,18C
ID9101,23C
ID9102,23C
ID9103,23C
ID9104,23C
ID9105,23C
ID9106,23C
ID9107,23C
ID9390,23C
ID9392,23C
ID9393,23C
ID9394,23C
ID9572,18C
ID9573,18C
ID9574,18C
ID9575,18C
ID9576,18C
ID9577,18C
ID9578,18C
